date,fii_net,dii_net
2015-01-01,18.2,19.56
2015-01-04,209.87,197.25
2015-01-06,113.47,49.34
2015-01-07,75.03,52.12
2015-01-09,-675.32,681.93
2015-01-10,48.6,152.18
2015-01-12,-106.78,194.75
2015-01-13,235.09,46.06
2015-01-14,-69.74,-223.98
2015-01-15,1738.24,-527.27
2015-01-16,1099.93,-716.91
2015-01-19,433.72,-237.71
2015-01-20,1275.59,-761.6
2015-01-22,592.79,-578.53
2015-01-23,2019.98,-1299.96
2015-01-27,953.51,-783.34
2015-01-28,1723.17,-1292.7
2015-01-29,1723.77,-1680.09
2015-01-30,-771.55,-37.6
2015-02-01,259.82,69.78
2015-02-02,-629.97,-224.07
2015-02-03,424.79,180.35
2015-02-06,-594.14,271.64
2015-02-07,575.32,-219.02
2015-02-09,-1573.42,880.27
2015-02-11,-272.67,145.38
2015-02-12,60.61,-78.31
2015-02-13,390.26,95.82
2015-02-16,-182.8,280.77
2015-02-18,2187.96,327.87
2015-02-19,1542.7,-195.74
2015-02-20,-89.41,204.85
2015-02-23,601.91,-163.79
2015-02-24,697.28,-146.98
2015-02-25,516.06,19.7
2015-02-26,2312.15,340.79
2015-02-27,1957.1,-491.93
2015-02-28,614.03,-740.74
2015-03-02,-264.35,-137.31
2015-03-03,772.92,-303.88
2015-03-06,-727.61,412.66
2015-03-07,356.29,-220.61
2015-03-08,350.41,-33.36
2015-03-09,-394.31,840.35
2015-03-11,-449.84,350.31
2015-03-12,-611.43,521.11
2015-03-13,66.98,-71.55
2015-03-16,-762.55,158.65
2015-03-17,265.52,-243.69
2015-03-18,-457.43,-882.99
2015-03-19,1428.72,53.46
2015-03-20,354.59,-219.2
2015-03-23,417.41,403.91
2015-03-24,737.86,-631.67
2015-03-25,813.19,96.52
2015-03-26,-521.23,687.09
2015-03-27,-320.52,674.76
2015-03-30,-240.34,651.67
2015-03-31,356.07,283.71
2015-04-02,-83.8,-72.35
2015-04-03,2786.24,16.89
2015-04-05,60.53,146.8
2015-04-06,511.9,772.04
2015-04-08,118.7,-112.55
2015-04-09,-1287.12,1128.7
2015-04-11,33.16,-74.9
2015-04-12,-1745.73,1069.01
2015-04-13,417.01,46.42
2015-04-15,108.0,-60.18
2015-04-16,-214.36,432.27
2015-04-17,-675.71,72.52
2015-04-20,-1506.86,962.5
2015-04-21,17488.73,1364.83
2015-04-22,-910.15,217.98
2015-04-23,-276.83,559.6
2015-04-24,-775.46,896.33
2015-04-27,-1749.33,1667.54
2015-04-28,-1532.84,1537.08
2015-04-29,-718.31,912.46
2015-04-30,-3157.61,2460.8
2015-05-01,472.0,-575.74
2015-05-02,-27.43,325.61
2015-05-03,79.84,-193.54
2015-05-05,-756.52,979.19
2015-05-06,-550.29,879.5
2015-05-10,649.9,365.77
2015-05-11,-991.87,636.15
2015-05-13,-71.2,254.0
2015-05-14,-73.76,302.57
2015-05-15,-38.31,563.6
2015-05-18,-202.12,618.54
2015-05-19,48.06,451.02
2015-05-20,123.49,103.58
2015-05-21,-186.26,404.01
2015-05-22,211.42,237.62
2015-05-25,74.14,0.17
2015-05-26,114.81,123.85
2015-05-27,-934.98,594.03
2015-05-28,-792.54,683.29
2015-05-29,2284.3,-2267.88
2015-06-01,-1570.76,1189.65
2015-06-02,-96.45,115.49
2015-06-04,936.81,-170.03
2015-06-05,-1699.6,1454.97
2015-06-07,149.37,-409.66
2015-06-08,108.93,-111.78
2015-06-10,480.24,-424.6
2015-06-11,219.17,-39.45
2015-06-15,-604.86,650.47
