date,dii_long,dii_short,dii_net,fii_long,fii_short,fii_net,pcr
2015-01-01,250074.0,342618.0,-92544.0,2327603.0,1833876.0,493727.0,1.1056
2015-01-02,248454.0,346637.8521,-98183.85210000002,2354054.785,1839106.17,514948.6150000002,1.1144
2015-01-05,247899.0,352629.0,-104730.0,2387290.0,1895266.0,492024.0,1.0771
2015-01-06,255634.0,339134.0,-83500.0,2395588.0,1972852.0,422736.0,0.9496
2015-01-07,258034.0,331356.0,-73322.0,2464713.0,2028561.0,436152.0,0.9467
2015-01-08,254382.0,330767.0,-76385.0,2504984.0,2041063.0,463921.0,0.9971
2015-01-09,255285.0,325940.0,-70655.0,2578652.0,2061225.0,517427.0,1.0823
2015-01-12,255438.0,323339.0,-67901.0,2603343.0,2099238.0,504105.0,1.1427
2015-01-13,269122.0,319000.0,-49878.0,2655544.0,2110494.0,545050.0,1.1145
2015-01-14,268893.0,315584.0,-46691.0,2694739.0,2136700.0,558039.0,1.083
2015-01-15,255993.0,323758.0,-67765.0,3006031.0,2131567.0,874464.0,1.1768
2015-01-16,256965.0,331070.0,-74105.0,3043735.0,2146439.0,897296.0,1.2131
2015-01-19,256124.0,331885.0,-75761.0,3048861.0,2173060.0,875801.0,1.2478
2015-01-20,254806.0,337127.0,-82321.0,3245612.0,2237254.0,1008358.0,1.3044
2015-01-21,257048.0,336621.0,-79573.0,3328569.0,2323753.0,1004816.0,1.3125
2015-01-22,284528.0,337741.0,-53213.0,3355763.0,2395934.0,959829.0,1.3049
2015-01-23,291898.0,342958.0,-51060.0,3418134.0,2457132.0,961002.0,1.304
2015-01-27,292852.0,349070.0,-56218.0,3542753.0,2524817.0,1017936.0,1.3706
2015-01-28,295629.0,349686.0,-54057.0,3715779.0,2766156.0,949623.0,1.326
2015-01-29,288531.0,327509.0,-38978.0,2401888.0,1966844.0,435044.0,0.9736
2015-01-30,289131.0,341809.0,-52678.0,2525357.0,2084589.0,440768.0,0.8886
2015-02-02,291853.0,345873.0,-54020.0,2560607.0,2144980.0,415627.0,0.8501
2015-02-03,305824.0,339959.0,-34135.0,2593449.0,2204638.0,388811.0,0.821
2015-02-04,316510.0,339439.0,-22929.0,2611583.0,2226291.0,385292.0,0.8253
2015-02-05,320821.0,339620.0,-18799.0,2624614.0,2223855.0,400759.0,0.8454
2015-02-06,320947.0,338588.0,-17641.0,2577304.0,2276857.0,300447.0,0.8244
2015-02-09,333232.0,333211.0,21.0,2650603.0,2404024.0,246579.0,0.832
2015-02-10,326749.0,331974.0,-5225.0,2724699.0,2460183.0,264516.0,0.8174
2015-02-11,327089.0,334161.0,-7072.0,2705832.0,2457962.0,247870.0,0.8345
2015-02-12,328421.0,341799.0,-13378.0,2716418.0,2498610.0,217808.0,0.8525
2015-02-13,329898.0,357489.0,-27591.0,2779040.0,2506610.0,272430.0,0.9312
