date,pcr
2015-01-01,1.1056
2015-01-02,1.1144
2015-01-05,1.0771
2015-01-06,0.9496
2015-01-07,0.9467
2015-01-08,0.9971
2015-01-09,1.0823
2015-01-12,1.1427
2015-01-13,1.1145
2015-01-14,1.083
2015-01-15,1.1768
2015-01-16,1.2131
2015-01-19,1.2478
2015-01-20,1.3044
2015-01-21,1.3125
2015-01-22,1.3049
2015-01-23,1.304
2015-01-27,1.3706
2015-01-28,1.326
2015-01-29,0.9736
2015-01-30,0.8886
2015-02-02,0.8501
2015-02-03,0.821
2015-02-04,0.8253
2015-02-05,0.8454
2015-02-06,0.8244
2015-02-09,0.832
2015-02-10,0.8174
2015-02-11,0.8345
2015-02-12,0.8525
2015-02-13,0.9312
2015-02-16,0.9001
2015-02-18,0.9191
2015-02-19,0.926
2015-02-20,0.8788
2015-02-23,0.8052
2015-02-24,0.8207
2015-02-25,0.8273
2015-02-26,0.897
2015-02-27,0.8475
2015-03-02,0.8951
2015-03-03,0.937
2015-03-04,0.9312
2015-03-05,0.9372
2015-03-09,0.8736
2015-03-10,0.8885
2015-03-11,0.8942
2015-03-12,0.9187
2015-03-13,0.8707
2015-03-16,0.8501
2015-03-17,0.8543
2015-03-18,0.8413
2015-03-19,0.8178
2015-03-20,0.8102
2015-03-23,0.7967
2015-03-24,0.8315
2015-03-25,0.7976
2015-03-26,0.8701
2015-03-27,0.8295
2015-03-30,0.8587
2015-03-31,0.8577
2015-04-01,0.9654
2015-04-06,0.978
2015-04-07,1.0001
2015-04-08,1.0255
2015-04-09,1.0608
2015-04-10,1.0589
2015-04-13,1.0914
2015-04-15,1.0273
2015-04-16,0.9779
2015-04-17,0.9267
2015-04-20,0.8489
2015-04-21,0.8155
2015-04-22,0.8075
2015-04-23,0.814
2015-04-24,0.7858
2015-04-27,0.7416
2015-04-28,0.8049
2015-04-29,0.7793
2015-04-30,0.9606
2015-05-04,0.9826
2015-05-05,0.9526
2015-05-06,0.8933
2015-05-07,0.9028
2015-05-08,0.9332
2015-05-11,1.015
2015-05-12,0.9166
2015-05-13,0.9474
2015-05-14,0.9106
2015-05-15,0.9203
2015-05-18,1.0089
2015-05-19,0.9844
2015-05-20,1.04
2015-05-21,1.0658
2015-05-22,1.0666
2015-05-25,0.9862
2015-05-26,0.945
2015-05-27,0.9625
2015-05-28,0.9661
2015-05-29,0.9623
2015-06-01,0.9424
2015-06-02,0.8943
2015-06-03,0.8511
2015-06-04,0.8502
2015-06-05,0.8655
2015-06-08,0.8318
2015-06-09,0.8108
2015-06-10,0.8308
2015-06-11,0.7985
2015-06-12,0.8077
2015-06-15,0.8441
2015-06-16,0.844
2015-06-17,0.8456
2015-06-18,0.9201
2015-06-19,1.0058
2015-06-22,1.1058
2015-06-23,1.146
2015-06-24,1.127
2015-06-25,1.0748
2015-06-26,1.0274
2015-06-29,1.08
2015-06-30,1.0796
2015-07-01,1.1123
2015-07-02,1.1009
2015-07-03,1.1157
2015-07-06,1.131
2015-07-07,1.1328
2015-07-08,1.0833
2015-07-09,1.0316
2015-07-10,1.0295
2015-07-13,1.0417
2015-07-14,1.0408
