sector,forward_days,n_flags_naive,hit_rate_naive,p_value_naive,n_flags_corrected,hit_rate_corrected,p_value_corrected,significant,p_bonferroni,p_bh_fdr,significant_bonferroni,significant_bh_fdr
NIFTY_BANK,1,171,0.4444444444444444,0.1684837174888583,105,0.4285714285714285,0.1715646971542424,no,1.0,0.6862587886169697,False,False
NIFTY_BANK,3,170,0.4,0.0111558427260223,86,0.3837209302325581,0.0398536285605351,YES,0.6376580569685616,0.464513174339272,False,False
NIFTY_BANK,5,170,0.4411764705882353,0.144830969543739,77,0.4935064935064935,1.0,no,1.0,1.0,False,False
NIFTY_BANK,10,170,0.4411764705882353,0.144830969543739,55,0.4727272727272727,0.7877061896700431,no,1.0,1.0,False,False
NIFTY_IT,1,171,0.52046783625731,0.6464833446153442,105,0.4952380952380952,1.0,no,1.0,1.0,False,False
NIFTY_IT,3,170,0.5647058823529412,0.1069865728315484,86,0.5813953488372093,0.1605784191339797,no,1.0,0.6862587886169697,False,False
NIFTY_IT,5,170,0.5823529411764706,0.0380636696041343,77,0.5194805194805194,0.8198929037490488,no,1.0,1.0,False,False
NIFTY_IT,10,170,0.5470588235294118,0.249886031845437,55,0.4727272727272727,0.7877061896700431,no,1.0,1.0,False,False
NIFTY_PHARMA,1,171,0.5555555555555556,0.1684837174888583,105,0.5142857142857142,0.8453703188825519,no,1.0,1.0,False,False
NIFTY_PHARMA,3,170,0.5117647058823529,0.8181059679029432,86,0.5,1.0,no,1.0,1.0,False,False
NIFTY_PHARMA,5,170,0.4411764705882353,0.144830969543739,77,0.4415584415584415,0.3620317977396615,no,1.0,1.0,False,False
NIFTY_PHARMA,10,170,0.4235294117647059,0.0548651823854743,55,0.3636363636363636,0.058064146792409,no,0.929026348678544,0.464513174339272,False,False
NIFTY_AUTO,1,171,0.4678362573099415,0.4445328573001666,105,0.4666666666666667,0.5583942911655908,no,1.0,1.0,False,False
NIFTY_AUTO,3,170,0.5058823529411764,0.9388949735923956,86,0.5116279069767442,0.91421163708245,no,1.0,1.0,False,False
NIFTY_AUTO,5,170,0.4941176470588235,0.9388949735923956,77,0.5064935064935064,1.0,no,1.0,1.0,False,False
NIFTY_AUTO,10,170,0.5117647058823529,0.8181059679029432,55,0.4545454545454545,0.5900533317766354,no,1.0,1.0,False,False
